question,A,B,C,D,E,answer,parse,model_output,correctness
何首乌适用于哪些西医疾病,低钙血症,多发性脂肪囊肿,神经元病变,神经病变,多发性家族性三表皮细胞瘤,C,该中药西医疾病为抗磷脂综合征、糖尿病、主动脉瘤、神经元病变、毛周角化性蚕豆病、角膜炎、多发性脂肪囊肿、低钾血症性周期性麻痹、成髓不全症、青少年成熟期糖尿病、霍纳综合征、先天性角膜混浊、视网膜动脉、白内障、上前牙突出导致的错颌畸形、肝腺瘤,D,0
白薇与哪些靶点基因有关,RARG,ACHE,CYP11A1,SNAPIN,PPWD1,B,该中药靶点基因为PLCG1，PRKAB1，PGD，ACHE，ADA，ADK，ADORA1，ADORA2A，ADORA2B，ADORA2A，ADORA3，AHCY，ALPL，AMY1B，APP，AR，CYP19A1，CYP19A1，AURKB，BACE1等。,A,0
绿矾配白矾有哪些功效,舒筋活络,固精止遗,活血止痛,升清降浊,燥湿止痒,E,该中药配伍为皂矾外用解毒杀虫燥湿；白矾外用解毒杀虫，燥湿止痒。二药伍用，可增强解毒杀虫，燥湿止痒之功，外治用于湿疹湿疮疥癣，赤肿湿烂瘙痒之症。、皂矾外用解毒杀虫燥湿；白矾外用解毒杀虫，燥湿止痒。二药伍用，可增强解毒杀虫，燥湿止痒之功，外治用于湿疹湿疮疥癣，赤肿湿烂瘙痒之症。,D,0
蟋蟀具有哪些功效,泻下祛积,破血消癜,清热豁痰,敛疮,通淋,E,该中药功效为利尿消肿，通淋,B,0
雷公藤治疗哪些证候,风湿证,痰湿型证,寒饮证,血虚生风证,外感风寒证,A,该中药中医证候为风寒湿痹证，风湿热痹证，风湿证,A,1
珍珠母有哪些药理作用,抗惊厥,降糖作用,清咽,抑制人体衰老,抑制心脏,A,该中药药理为抗过敏，抗肿瘤，抗氧化，抗惊厥，镇静,C,0
拳参治疗哪些证候,肝胃气滞证,瘀血病证,血瘀病证,血热证,心神不宁证,D,该中药中医证候为肺热证，热毒证，血热证,B,0
玉竹有哪些药理作用,解热镇痛,降血脂,降糖,增加血流量,抑制胃肠平滑肌,B,该中药药理为降血脂，抗氧化,B,1
连翘适用于哪些中医疾病,丹毒,自汗,窦道,雀目,胆胀,A,该中药中医疾病为感冒，温病，热淋，乳痈，丹毒，瘰疬，神昏,A,1
刀豆治疗哪些西医疾病,睾丸扭转,Cfhr5缺乏症,免疫球蛋白a缺乏症,伴或不伴有乳牙发育不全/孤颌症、低钾血症性周期性麻痹、垂直距骨、心肌病、贫血、肾炎/骨质疏松症、阿兰岛眼病、失聪、指纹体肌病、肝腺瘤,周期性发热,D,该中药西医疾病为全身性癫痫伴热性惊厥加号、主动脉瘤、阿尔波特综合征、青光眼、伊贺肾病、半骺发育不良伴软骨瘤和骨软骨瘤、牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、低钾血症性周期性麻痹、垂直距骨、心肌病、贫血、肾炎/骨质疏松症、阿兰岛眼病、失聪、指纹体肌病、肝腺瘤,D,1
百合治疗哪些中医疾病,失音,顽痹,毒蛇咬伤,咯血,自汗,D,该中药中医疾病为失眠，咯血,A,0
明党参含有哪些化学成分,罂粟碱,丙烯酸甲酯,6-羟基山柰酚,土贝母苷甲,白屈菜碱,B,"该中药化学成分为丙烯酸甲酯，β-蒗烯，橙花叔醇，橙花醇甲酯，9,11-十八碳二烯酸，6-苯基壬酸，棕榈酸，2-羟基-1-(羟基-甲基)9,12-十八碳二烯酸，2-甲基-十六烷酸，十六碳烯酸，硬脂酸，亚油酸",C,0
黄精的类别是哪些,补阴药,祛风湿热药,养心安神药,活血疗伤药,止咳平喘药,A,该中药二级类别为补阴药,A,1
山楂叶具有哪些药理作用,平喘,终止妊娠作,软化血管,改善血液流变性,利胆排石,A,该中药药理为平喘，抑菌,D,0
茺蔚子与哪些靶点基因有关,UBA1,FYCO1,DGKI,RPL7L1,ACHE,E,该中药靶点基因为ACHE，AR，CYP19A1，CYP19A1，NR1H4，CNR2，CA1，CA2，CA4，BCHE，F10，HSD11B1，POLA1，GPBAR1，CDC25A，CDC25B，CHRNA7，NPC1L1，RORA，NR1I3等。,A,0
娑罗子与哪些靶点基因有关,ACHE,ITIH1,TAS2R3,SULF1,SLC6A18,A,该中药靶点基因为ACHE，AR，APLNR，CYP19A1，CYP19A1，AURKB，CA12，CA1，CA2，CA4，CA7，CA9，PDE5A，BCHE，F10，HSD11B1，HSD11B2，CRHBP，EGFR，FABP3等。,C,0
白薇治疗哪些证候,精亏证,血虚发热证,阳虚证,肺气虚证,脏腑火热证,B,该中药中医证候为血虚发热证，阴虚证，实热证,B,1
鹿角霜治疗哪些证候,阳虚诸证,痰湿型证,伤阴证,肝风内动证,脾肾阳虚证,A,该中药中医证候为脾肾阳虚证，阳虚诸证,E,0
甘草的类别是哪些,辛温解表药,补气药,清热燥湿药,补血药,温化寒痰药,B,该中药二级类别为补气药,B,1
辛夷治疗哪些证候,湿痰证,风热郁肺证,风寒证,肺气虚证,肾气虚证,C,该中药中医证候为风寒表证，风寒证,B,0
零陵香配白芷有哪些功效,祛湿止痛,润肺下气,清利头目,辛温解表,滋阴润燥,C,该中药配伍为白芷具有散风除湿、通窍止痛的功效，与零陵香配伍，可以增强祛风散寒、通窍止痛的作用，适用于治疗风寒感冒、头痛、鼻塞等症状。、白芷具有散风除湿、通窍止痛的功效，与零陵香配伍，可以增强祛风散寒、通窍止痛的作用，适用于治疗风寒感冒、头痛、鼻塞等症状。、白芷具有散风除湿、通窍止痛的功效，与零陵香配伍，可以增强祛风散寒、通窍止痛的作用，适用于治疗风寒感冒、头痛、鼻塞等症状。,C,1
紫梢花适用于哪些证候,寒湿证,初期邪实证,血脱证,气血虚弱证,湿阻气滞证,A,该中药中医证候为肾阳不足证，寒湿证,B,0
槐角的类别是哪些,化瘀止血药,重镇安神药,补气药,凉血止血药,发散风寒药,D,该中药二级类别为凉血止血药,D,1
百合配川贝母具有哪些功效,清热化痰,调经止痛,祛风除湿,止咳化痰,补肾壮腰,D,该中药配伍为百合甘寒，长于清肺润燥止咳；川贝母甘苦微寒，善于清热化痰，润肺止咳。两药配伍，可增强清热润肺，化痰止咳的作用，适用于痰热壅肺，热灼津伤，肺失清肃，咳嗽气喘，痰中带血等。、百合甘寒，长于清肺润燥止咳；川贝母甘苦微寒，善于清热化痰，润肺止咳。两药配伍，可增强清热润肺，化痰止咳的作用，适用于痰热壅肺，热灼津伤，肺失清肃，咳嗽气喘，痰中带血等。,D,1
前胡配荆芥具有哪些功效,攻逐水饮,理气健脾,消暑散热,行滞通痹,祛风解表,E,该中药配伍为前胡苦辛微寒，功专降气化痰，又能宣散风热；荆芥辛微温不烈，长于祛风散寒解表。两药相配，共奏祛风解表、宣肺止咳之功，适用于外感风寒、风热，邪气束肺之咳嗽气喘。、前胡苦辛微寒，功专降气化痰，又能宣散风热；荆芥辛微温不烈，长于祛风散寒解表。两药相配，共奏祛风解表、宣肺止咳之功，适用于外感风寒、风热，邪气束肺之咳嗽气喘。,E,1
金钱白花蛇有哪些功效,凉血,散结消肿,通络,强健骨,化湿行气,C,该中药功效为祛风，通络，止痉,C,1
浙贝母配桑叶有哪些功效,益气定喘,平喘止咳,消痰软坚,理气化湿,化痰软坚,E,该中药配伍为浙贝母善于开宣肺气，清肺化痰；桑叶甘苦寒，既能疏散风热，又能清肺润燥。两药伍用，一表一里，清润并举，共奏清肺化痰、宣降肺气之功，适用于外感风热，咳嗽痰黄之症。、浙贝母善于开宣肺气，清肺化痰；桑叶甘苦寒，既能疏散风热，又能清肺润燥。两药伍用，一表一里，清润并举，共奏清肺化痰、宣降肺气之功，适用于外感风热，咳嗽痰黄之症。,B,0
金荞麦治疗哪些证候,虚风内动证,气血亏虚证,肺热证,温病卫分证,肺肾两虚证,C,该中药中医证候为肺热证，热毒证,D,0
当药配茵陈有哪些功效,宣肺通窍,敛肺止咳,清利湿热,泻热通便,养肝益肾,C,该中药配伍为当药长于清湿热，健胃；茵陈长于利肝胆，退黄。二药配伍，增强清利湿热，利胆退黄之效，适用于湿热黄疸，胁肋不舒，腹胀乏力，食欲不振等。、当药长于清湿热，健胃；茵陈长于利肝胆，退黄。二药配伍，增强清利湿热，利胆退黄之效，适用于湿热黄疸，胁肋不舒，腹胀乏力，食欲不振等。,C,1
淡竹叶配白茅根有哪些功效,止泻止痢,破气消积,清热利尿,柔肝缓急,养血祛风,C,该中药配伍为淡竹叶清热泻火，利尿通淋；白茅根凉血止血，清热利尿。两药伍用，增强清热利尿之功，可用于热淋，血淋，小便不利者。,A,0
射干治疗哪些证候,肝虚证,心神不安证,肝阳化风证,痰火郁结证,湿阻中焦证,D,该中药中医证候为痰火郁结证，热毒证,D,1
紫萁贯众的类别是什么,峻下逐水药,清热解毒药,活血调经药,温化寒痰药,清热解毒药,B,该中药二级类别为清热解毒药,B,1
藿草包含哪些化学成分,秋英苷,异土荆皮呋喃酸A、B,菊花萜二醇,芳香醇氧化物,葛根素-7-木糖苷,A,该中药化学成分为木犀草素，秋英苷，木犀草素-7-O-葡萄糖苷，牡荆素,B,0
香加皮治疗哪些证候,火毒证,风寒湿痹证,虚风内动证,阳虚诸证,阳毒证,B,该中药中医证候为水湿内停病证，风寒湿痹证,C,0
谷芽的相关靶标,HES6,GPR55,SRD5A2,CYP2J2,TBXA2R,C,该中药靶点基因为SRD5A2，HTR2B，HTR2C，ACHE，ALPL，AR，CYP19A1，CYP19A1，BACE1，BACE1，NR1H4，CA12，CA14，CA1，CA2，CA3，CA4，CA5A，CA5B，CA7等。,A,0
乌梅包含哪些化学成分,碳酸锌,丁香酚,枸橼酸,平贝碱乙,芥子油,C,该中药化学成分为枸橼酸，苹果酸，草酸，琥珀酸，延胡索酸，酒石酸，绿原酸，新绿原酸，熊果酸，芦丁，鼠李素-3-O-鼠李糖苷，山柰酚-3-O鼠李糖苷，菜油甾醇，豆甾醇，胆甾醇,C,1
羚羊角有哪些药理作用,抗心肌缺血,降纤维蛋白原,防腐,解热,保护胃肠黏膜,D,该中药药理为降血压，解热，抗惊厥，镇痛，镇静,A,0
冬虫夏草的类别是什么,补阳药,祛风湿强筋骨药,凉血止血药,化瘀止血药,补血药,A,该中药二级类别为补阳药,A,1
羚羊角的类别是什么,固表止汗药,敛肺涩肠药,息风止痉药,润下药,利水消肿药,C,该中药二级类别为息风止痉药,C,1
芫花的类别是什么,辛温解表药,清热解毒药,峻下逐水药,活血疗伤药,重镇安神药,C,该中药二级类别为峻下逐水药,C,1
青果的性味归经是哪些,辛、微苦、微甘，平。归肝、脾、三焦经。,苦，平。归肾、胃经。,辛、苦，温；有小毒。归肾经。,苦，温。归肾经。,甘、酸，平。归肺、胃经。,E,该中药性味归经为甘、酸，平。归肺、胃经。,E,1
苎麻根配阿胶有哪些功效,补脾益气,消痈散结,养血滋阴,补肾固精,补血养血,C,该中药配伍为苎麻根凉血止血，清热安胎；阿胶滋阴养血，又为止血要药。两药配伍，清热安胎，并养血滋阴，相须为用，安胎之效增，适用于妊娠血虚有热，胎漏，胎动不安。,C,1
苍耳子适用于哪些中医疾病,热痹,风寒湿痹,虚劳,痔疮,风疹,E,该中药中医疾病为风疹，湿痹，鼻塞，鼻渊，头痛，瘙痒,E,1
白扁豆具有哪些药理作用,抗缺氧,减慢心率,调节胃肠运动,祛黄褐斑,解毒,E,该中药药理为解毒，抗氧化，抗病毒,C,0
石斛治疗哪些证候,肝阳上亢证,虫积证,外伤证,胃阴不足证,肝肾不足证,D,该中药中医证候为胃阴不足证，阴虚火旺证，阴虚津亏证，虚热证,D,1
川木通的类别是什么,攻毒杀虫止痒药,利水渗湿药,止血药,泻下药,利水渗湿药,B,该中药一级类别为利水渗湿药,B,1
降香适用于哪些西医疾病,毛周角化性蚕豆病,胰脂肪酶缺乏症,骨痛,动脉瘤,卵巢早衰2a,D,该中药西医疾病为毛周角化性蚕豆病、低钙高钙血症、半骺发育不良伴软骨瘤和骨软骨瘤、多发性脂肪囊肿、霍纳综合征、失聪、动脉瘤、肝腺瘤、腹部肥胖-代谢综合征,A,0
麦冬治疗哪些中医疾病,破伤风,昏迷,消渴,瘟疫,瘙痒,C,该中药中医疾病为消渴，喉痹，失眠,C,1
酸枣仁适用于哪些中医疾病,吐酸,呃逆病,震颤,虚劳病,食积,D,该中药中医疾病为虚劳病,C,0
瓜蒌皮治疗哪些证候,阳毒证,痰热证,外伤证,肺热证,胃阴不足证,B,该中药中医证候为痰热证，燥痰证，热痰证,B,1
莱菔子配木香具有哪些功效,祛腐生肌,活血通经,祛风止痛,消食化积,健脾益气,D,该中药配伍为莱菔子辛甘性平，善消食化积，行气除胀；木香辛行苦泄温通，芳香气烈而味厚，长于通行脾、胃、大肠之滞气，既为行气止痛及治泻痢里急后重之要药，又为健脾消食之佳品。两药配用，专入脾胃大肠经，消食化积、行气除胀止痛力胜，适用于食积气滞之胃脘痞满胀痛，嗳气酸腐，腹胀肠鸣，矢气频频等。,D,1
葫芦治疗哪些中医疾病,健忘,淋证,肌痿,痰厥,睑弦赤烂,B,该中药中医疾病为淋证，黄疸，腹胀，水肿,B,1
山豆根配射干有哪些功效,止痛消肿,燥湿化痰,理气止痛,敛疮生肌,消肿止痛,E,该中药配伍为二者均为苦寒之品，皆为治疗咽喉肿痛之要药。山豆根能清泄肺胃之热，泻火解毒力胜；射干偏于降火祛痰散结。二药配用，增强清热解毒利咽，祛痰消肿之效，适用于痰热郁结，壅滞于咽喉而致的咽喉肿痛、喉中痰鸣、痰黏不易咯出等。、二者均为苦寒之品，皆为治疗咽喉肿痛之要药。山豆根能清泄肺胃之热，泻火解毒力胜；射干偏于降火祛痰散结。二药配用，增强清热解毒利咽，祛痰消肿之效，适用于痰热郁结，壅滞于咽喉而致的咽喉肿痛、喉中痰鸣、痰黏不易咯出等。,C,0
楮实子具有哪些功效,宣发郁热,祛风定惊,疏肝泄热,制酸止痛,利尿,E,该中药功效为补肾清肝，明目，利尿,A,0
鹿茸治疗哪些中医疾病,遗尿,骨痿,不孕,湿温,感冒,B,该中药中医疾病为骨痿，滑精，崩漏，带下，不孕，阳痿，眩晕，耳鸣，耳聋,B,1
薏苡仁的相关靶标,KRT10,SRD5A2,DOLPP1,CHD9,HDAC8,B,该中药靶点基因为SRD5A2，HTR2B，HTR2C，HTR6，HTR7，ACHE，ADORA3，AKR1C2，AKR1C3，APP，AR，CYP19A1，CYP19A1，NR1H4，ABCG2，CNR1，CNR2，CA12，CA14，CA1等。,B,1
茯苓皮治疗哪些中医疾病,青盲,乳痈,麻疹,腹满,水肿,E,该中药中医疾病为水肿,E,1
路路通的性味归经是哪些,辛，温。归肺、脾、肾、膀胱经。,苦，平。归肝、肾经。,甘、淡，平。归肾、膀胱经。,甘，微温。归脾、胃经。,甘、微苦，微寒。归心、肺、胃经。,B,该中药性味归经为苦，平。归肝、肾经。,A,0
北寒水石治疗哪些中医疾病,干呕,瘘管,呃逆病,丹毒,肺痨,D,该中药中医疾病为丹毒，齿衄，水肿,B,0
穿山龙的性味归经是哪些,辛、苦、平。归肺经。,甘、淡，平。归肺、脾、肾经。,甘、微苦，微温。归脾、肺、心、肾经。,甘、苦，温。归肝、肾、肺经。,辛、甘，平。归肝、肾、脾经。,D,该中药性味归经为甘、苦，温。归肝、肾、肺经。,C,0
金钱草的类别是什么,祛风湿药,涌吐药,拔毒化腐生肌药,利水渗湿药,化湿药,D,该中药一级类别为利水渗湿药,D,1
棕榈治疗哪些中医疾病,烂喉丹痧,白带,崩漏,产后血晕,鹅掌风,C,该中药中医疾病为崩漏，吐血，便血，尿血,A,0
茜草包含哪些化学成分,大叶茜草素,蛇肌果糖,黄嘌呤,对二甲氨基苯甲醚,甘松愈创木酮A~K,A,该中药化学成分为大叶茜草素，茜草萘酸，茜草双酯，羟基茜草素，茜草素，茜黄素，萜类，多糖，环肽化合物,A,1
蛇蜕治疗哪些中医疾病,窦道,湿脚气,消渴,小儿惊风,疗疮,D,该中药中医疾病为小儿惊风，皮肤瘙痒，喉痹，抽搐,E,0
竹节参配麦冬有哪些功效,补虚强壮,消肿散结,养阴生津,益气止血,化痰除湿,C,该中药配伍为麦冬具有养阴生津、润肺清心的功效，与竹节参配伍可以增强其清热润肺、止血散瘀的作用，常用于治疗吐血、咳嗽痰多等症状。、麦冬具有养阴生津、润肺清心的功效，与竹节参配伍可以增强其清热润肺、止血散瘀的作用，常用于治疗吐血、咳嗽痰多等症状。、麦冬具有养阴生津、润肺清心的功效，与竹节参配伍可以增强其清热润肺、止血散瘀的作用，常用于治疗吐血、咳嗽痰多等症状。,C,1
莪术包含哪些化学成分,磷脂,吉马酮,泽泻醇C乙酸酯,南莞酚,麦冬皂苷B,B,该中药化学成分为吉马酮，莪术二酮，莪术醇，莪术螺内 酯，温郁金醇，姜烯，龙脑，莪术呋喃酮，松油烯，丁香酚，姜黄素,B,1
满山红包含哪些化学成分,益母草定,杜鹃素,7-甲氧基马兜铃酸,番泻苷A、B、C、D,印楝子素,B,该中药化学成分为杜鹃素，金丝桃苷，山柰酚，槲皮素，杨梅酮，黄杉素，异金丝桃苷，杜鹃花醇，双氢槲皮素，棉花皮素，篇蓄苷，杜鹃黄素,B,1
忍冬藤具有哪些功效,行气止痛,涩肠止泻,清热解毒,散痞,止血,C,该中药功效为清热解毒，疏风通络,D,0
虎耳草有哪些功效,补肝肾,散风明目,消食除胀,祛风解表,清热泻火,E,该中药功效为清热泻火，解毒消肿,B,0
地肤子治疗哪些证候,血瘀病证,饮食积滞证,焦湿热证,痰饮内停证,出血证,C,该中药中医证候为焦湿热证,E,0
半夏的性味归经是哪些,苦，凉；有毒。归肺、胃经。,苦、甘，微寒。归肺、心经。功能清热润肺，化痰止咳。,辛，温；有毒。归脾、胃、肺经。,辛，凉。归肺、肝经。,微苦、涩，凉。归肝经。,C,该中药性味归经为辛，温；有毒。归脾、胃、肺经。,A,0
乳香治疗哪些西医疾病,骨痛,乳腺癌-卵巢癌,淋巴因子缺乏症,滑膜紧闭,尿道下裂,A,"该中药西医疾病为骨痛、综合畸形-多指畸形-耳垂综合征、神经元病变、伯纳德-苏利尔综合征、脾肿大、伊贺肾病、脑动静脉畸形、半骺发育不良伴软骨瘤和骨软骨瘤、乌平顿病、范布赫姆病、46,XX男性性别逆转综合征、缺乏Properdin、霍纳综合征、视网膜动脉、动脉瘤",A,1
杜仲的性味归经是哪些,苦，微温；有小毒。归肺、大肠经。,微苦，凉。归大肠、肝经。,微苦，平。归肝、胃经。,甘、温。归肝、肾经。,辛，热。归胃经、大肠经。,D,该中药性味归经为甘、温。归肝、肾经。,D,1
地榆包含哪些化学成分,异白木香醇,二十烷酸,地榆素H-1～H-11,芒果苷,温郁金醇,C,"该中药化学成分为地榆素H-1～H-11，1,2,6-三没食子酰-β-D葡萄糖，地榆糖苷，地榆皂苷A、B、C、D、E",C,1
菊花配川芎、生石膏有哪些功效,安神除烦,清热化瘀,通淋止痛,活血调经,宣散风热,E,该中药配伍为菊花、川芎皆能祛风止痛，菊花入肝经气分，能清肝热；川芎入肝经血分，善于活血化瘀；生石膏辛甘大寒，善清泄上焦气分邪热。三药相配，有清热祛风止痛之功，常用治风热上攻或肝火上扰所致的头痛眩晕、目赤肿痛。、菊花、川芎皆能祛风止痛，菊花入肝经气分，能清肝热；川芎入肝经血分，善于活血化瘀；生石膏辛甘大寒，善清泄上焦气分邪热。三药相配，有清热祛风止痛之功，常用治风热上攻或肝火上扰所致的头痛眩晕、目赤肿痛。,B,0
何首乌治疗哪些西医疾病,多发性脂肪囊肿,多发性家族性三表皮细胞瘤,神经病变,低钙血症,神经元病变,E,该中药西医疾病为抗磷脂综合征、糖尿病、主动脉瘤、神经元病变、毛周角化性蚕豆病、角膜炎、多发性脂肪囊肿、低钾血症性周期性麻痹、成髓不全症、青少年成熟期糖尿病、霍纳综合征、先天性角膜混浊、视网膜动脉、白内障、上前牙突出导致的错颌畸形、肝腺瘤,A,0
马齿苋含有哪些化学成分,硒,牡丹酚原苷,槐根碱,维生素D,洋芹素,A,该中药化学成分为β-番树脂醇，丁基醚帕醇， 帕克醇，钙，磷，铁，硒，钾，硫胺素，核黄素，维生素B1、A，β-胡萝卜素，蔗糖，葡萄糖，果糖,E,0
炒苍耳子的类别是什么,补阴药,活血疗伤药,补气药,发散风寒药,补血药,D,该中药二级类别为发散风寒药,D,1
沉香与哪些靶点基因有关,ACVR1,HCK,SRD5A2,NR1H4,MTPAP,C,该中药靶点基因为SRD5A2，HTR2B，HTR2C，HTR3A，ACHE，ADORA1，ADORA2A，ADORA2A，ADORA3，AKR1C3，AR，TEK，APLNR，CYP19A1，CYP19A1，AURKA，AURKB，BACE1，BACE1，NR1H4等。,B,0
川贝母配北沙参有哪些功效,养阴润肺,疏肝理气,祛湿止痛,泻火除烦,化痰散结,A,该中药配伍为川贝母甘寒质润，尤善润肺止咳，兼能清肺化痰；北沙参甘润苦寒，长于补肺阴，清肺热。两药伍用，共奏养阴润肺、化痰止咳之功，适用于阴虚肺燥有热之干咳少痰、咯血或咽干音哑等。、川贝母甘寒质润，尤善润肺止咳，兼能清肺化痰；北沙参甘润苦寒，长于补肺阴，清肺热。两药伍用，共奏养阴润肺、化痰止咳之功，适用于阴虚肺燥有热之干咳少痰、咯血或咽干音哑等。,A,1
鳖甲的类别是哪些,破血消癥药,补阴药,凉血止血药,补气药,重镇安神药,B,该中药二级类别为补阴药,C,0
黄芩含有哪些化学成分,汉黄芩素,金粉蕨素-2'-O-阿洛糖苷,直立白薇苷C,桑素,α-细辛醚,A,该中药化学成分为黄芩苷，黄芩素，汉黄芩苷，汉黄芩素，黄芩新素，去甲汉黄芩素,A,1
西瓜霜包含哪些化学成分,铃兰苷,构橼酸,松油-4-醇,千花木酸,黄酮类化合物,B,该中药化学成分为芒硝 二氧化硅，甜菊素，构橼酸,E,0
款冬花配知母具有哪些功效,通经活络,利湿退黄,润燥止痒,化痰止咳,化痰软坚,D,该中药配伍为款冬花辛温而润，长于润肺化痰止咳；知母苦甘性寒，清热泻火，滋阴润燥。两药伍用，有养阴清肺、化痰止咳之功，适用于肺热咳嗽、痰黄浓稠者。、款冬花辛温而润，长于润肺化痰止咳；知母苦甘性寒，清热泻火，滋阴润燥。两药伍用，有养阴清肺、化痰止咳之功，适用于肺热咳嗽、痰黄浓稠者。,D,1
大血藤配川芎有哪些功效,化瘀止痛,补肾填精,滋阴润肺,除烦止渴,滋补肾阴,A,该中药配伍为大血藤能活血止痛，川芎能祛风止痛。二药配伍，共奏活血，祛风，通络止痛之功，适用于气血瘀滞，筋脉不舒，关节疼痛，活动不利。,A,1
枇杷叶配黄芩有哪些功效,燥湿止带,凉血止痢,降逆止呕,和胃止痛,通淋排石,C,该中药配伍为枇杷叶苦泄清降，功专清肺止咳，降逆止呕；黄芩苦寒降泄，尤善清肺火及上焦实热。两药配伍，相须为用，能增强清肺止咳之力，适用于肺热壅盛之咳嗽痰喘实证。,B,0
泽泻治疗哪些证候,肺气虚证,血瘀证,阴虚证,血瘀病证,痰饮证,E,该中药中医证候为水湿内停病证，痰饮证,A,0
花蕊石含有哪些化学成分,甾醇,钙,连翘酯苷A,尖叶土杉甾酮A,去乙酸基车叶草苷酸,B,该中药化学成分为钙，镁的碳酸盐,B,1
草豆蔻的性味归经是哪些,酸、涩，寒。归肺、脾、肝、大肠经。,辛、苦，温；有毒。归肝、肾、心经。,辛，温。归脾、胃经。,咸，平。归肺、肾经。,微辛、涩，凉。归肺经。,C,该中药性味归经为辛，温。归脾、胃经。,C,1
猪牙皂配麻黄具有哪些功效,滋阴养血,涌吐痰涎,胜湿止痛,疏散退热,行气逐瘀,B,该中药配伍为猪牙皂辛能通利气道，咸能软化胶结之痰，功专祛除顽痰；麻黄辛散温通，既发汗解表，又宣肺平喘。两药伍用，可增强化痰平喘之力，适用于顽痰阻肺，咳喘痰多。,B,1
鸡矢藤含有哪些化学成分,α-红没药醇,反-麝子油醇,鸡矢藤次苷,红花苷,色胺酮,C,该中药化学成分为鸡矢藤苷，鸡矢藤次苷，鸡矢藤苷酸,C,1
斑蝥适用于哪些证候,肺虚燥证,下元虚冷证,胃热证,血瘀病证,阳虚证,D,该中药中医证候为血瘀病证,D,1
山麦冬有哪些功效,清肺降气,益胃生津,养阴生津,利水渗湿,泻火定惊,C,该中药功效为养阴生津，润肺清心,C,1
益智与哪个靶标相关,ERMAP,DPP4,FGF18,SRD5A2,KLHL11,D,该中药靶点基因为SRD5A2，HTR2B，HTR2C，ACHE，ADORA3，ALK，APP，AR，CYP19A1，CYP19A1，AHR，AURKB，BACE1，BACE1，NR1H4，ABCG2，CAMK2B，CNR2，CA12，CA14等。,A,0
麻黄根的类别是哪些,活血调经药,活血止痛药,祛风湿热药,祛风寒湿药,固表止汗药,E,该中药二级类别为固表止汗药,E,1
鱼腥草与哪些靶点基因有关,PTGIR,CCDC86,TUBG1,SLC22A3,S100A8,A,该中药靶点基因为HTR1B，HTR1D，HTR2B，HTR2C，HTR6，HTR7，ACHE，ADH1A，ALPL，ADRA1A，ADRA1D，APP，AR，APAF1，CYP19A1，CYP19A1，AHR，AURKA，AURKB，BCL2L2等。,E,0
番泻叶适用于哪些西医疾病,骨纤维发育不良,伴有或不伴有白内障的高铁蛋白血症,Franceschetti - Jadassohn综合征,纹状体变性,多指畸形,B,该中药西医疾病为伴有或不伴有白内障的高铁蛋白血症、鱼鳞病、帕克曼发育不良症、心肌病、牙釉质发育不全症、多发性内分泌肿瘤、多囊卵巢综合征,A,0
苦地丁的性味归经是哪些,酸、涩，寒。归肺、大肠、肾经。,咸，平。归肺、肾经。,甘、涩，平。归脾、肾经。,苦，凉。归肝、脾经。,苦，寒。归心、肝、大肠经。,E,该中药性味归经为苦，寒。归心、肝、大肠经。,E,1
升麻治疗哪些西医疾病,Franceschetti - Jadassohn综合征,牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症,色素沉着,念珠菌病,霍纳综合征,B,该中药西医疾病为牙齿排列不齐，伴或不伴有乳牙发育不全/孤颌症、三毛症、Cfhr5缺乏症、Ige特应性反应性、弗雷泽综合症、软腭裂、骨髓增生性疾病、霍纳综合征、失聪、自体免疫疾病、青光眼、伊贺肾病、伊加肾病、巨型水泥瘤、单纯性表皮松解症、德尼–德拉什综合征、贫血、遗传性角化性皮炎、桥本甲状腺炎,E,0
苦地丁的类别是哪些,清热解毒药,敛肺涩肠药,重镇安神药,清化热痰药,凉血止血药,A,该中药二级类别为清热解毒药,A,1
大黄适用于哪些中医疾病,带下,不寐,胸痹心痛,热痹,湿热痢,E,该中药中医疾病为湿热痢，痢疾，肠痈，淋证，疮疡，疗疮，经闭，积滞，黄疸，腹痛，水肿,E,1
牛蒡子与哪些靶点基因有关,TTC19,EXOSC3,ANG,RENBP,PLCG1,E,该中药靶点基因为PLCG1，SRD5A2，PRKAB1，ACHE，LYPLA1，LYPLA2，ADA，ADK，ADORA1，ADORA2A，ADORA2B，ADORA2A，ADORA3，AHCY，ALB，ALPG，ALPL，APP，AR，CYP19A1等。,A,0
附子含有哪些化学成分,喹唑二酮,当药苦苷,二氢咖啡酸,氧化汞,乌头碱,E,该中药化学成分为乌头碱，新乌头碱，次乌头碱，去甲乌头碱，去甲猪毛菜碱，塔拉乌头胺，异飞燕草碱，新乌宁碱，苯甲酰新乌头原碱，苯甲酰乌头原碱，苯甲酰次乌头原碱,E,1
西洋参与哪些靶点基因有关,TAS2R46,RPS27A,KIF1C,PLIN5,PLCG2,E,该中药靶点基因为PLCG2，HTR2B，HTR2C，ACHE，ADA，ADK，ADORA1，ADORA2A，ADORA2A，ADORA3，AHCY，ALB，ALK，APP，AR，ALOX5AP，CYP19A1，CYP19A1，AHR，ACLY等。,A,0
